comment,category
"You're going to face consequences.","Threat"
"Keep going, you're doing great!","Support"
"Like for like, follow for follow.","Irrelevant/Spam"
"What about adding music?","Question/Suggestion"
"Touched my heart deeply.","Emotional"
"You can do it, don't stop!","Support"
"Outstanding quality, well done!","Praise"
"I appreciate the work but the colors are too bright.","Constructive Criticism"
"Watch your back.","Threat"
"This is awful, please stop.","Hate/Abuse"
"Phenomenal work, congratulations!","Praise"
"Don't let anyone bring you down!","Support"
"Good effort, but the timing feels rushed.","Constructive Criticism"
"This reminded me of my childhood.","Emotional"
"Cheap followers, DM me.","Irrelevant/Spam"
"Disgusting content, hate it.","Hate/Abuse"
"Buy my course for $99.","Irrelevant/Spam"
"Maybe try a different approach?","Question/Suggestion"
"Masterpiece! Amazing creativity!","Praise"
"How long did this take?","Question/Suggestion"
"This hits different, emotional.","Emotional"
"Decent content but needs better structure.","Constructive Criticism"
"I'll get you banned from everywhere.","Threat"
"Free money, click here!","Irrelevant/Spam"
"Nice concept but the delivery needs work.","Constructive Criticism"
"Could you make it longer?","Question/Suggestion"
"Best thing I've seen all day!","Praise"
"Random text here 12345.","Irrelevant/Spam"
"This is absolutely fantastic!","Praise"
"Stay motivated, you're amazing!","Support"
"Any tips for beginners?","Question/Suggestion"
"Brought tears to my eyes.","Emotional"
"We're rooting for you!","Support"
"Top-notch quality, fantastic!","Praise"
"Check out my profile!","Irrelevant/Spam"
"Legal action will be taken.","Threat"
"Stay strong, we believe in you!","Support"
"What inspired this work?","Question/Suggestion"
"Nice try, but the audio quality could be improved.","Constructive Criticism"
"What software did you use?","Question/Suggestion"
"I know where you live.","Threat"
"First! Like if you agree.","Irrelevant/Spam"
"This won't end well for you.","Threat"
"This speaks to my soul.","Emotional"
"Good concept but needs better execution.","Constructive Criticism"
"Could you do a tutorial?","Question/Suggestion"
"Click my link for prizes.","Irrelevant/Spam"
"How do I get started?","Question/Suggestion"
"Beautifully crafted, well done!","Praise"
"Absolutely love this content!","Praise"
"Decent work but the lighting could be better.","Constructive Criticism"
"Made me cry, so touching.","Emotional"
"Terrible work, no skill.","Hate/Abuse"
"Excellent presentation, loved it!","Praise"
"You're terrible at this, stop.","Hate/Abuse"
"I'll destroy your reputation.","Threat"
"Stunning visuals and great story!","Praise"
"Don't give up, you've got this!","Support"
"Solid foundation but needs more depth.","Constructive Criticism"
"Keep being yourself, it's great!","Support"
"We support you all the way!","Support"
"Any plans for a sequel?","Question/Suggestion"
"You're a joke, quit already.","Hate/Abuse"
"This is trash, quit now.","Hate/Abuse"
"Visit my website for deals.","Irrelevant/Spam"
"The idea is there but execution lacks finesse.","Constructive Criticism"
"Feeling overwhelmed with joy.","Emotional"
"Could you cover more details?","Question/Suggestion"
"This makes me feel understood.","Emotional"
"This is so meaningful to me.","Emotional"
"I'll ruin your career.","Threat"
"You're doing better than you think!","Support"
"Get rich quick, message me.","Irrelevant/Spam"
"Pathetic attempt, embarrassing.","Hate/Abuse"
"Completely useless, delete this.","Hate/Abuse"
"Incredible job on this project!","Praise"
"The content is good but needs better organization.","Constructive Criticism"
"Don't let anyone bring you down!","Support"
"Could you do a tutorial?","Question/Suggestion"
"I'll make sure everyone knows.","Threat"
"Nice try, but the colors are too dull.","Constructive Criticism"
"Sub4sub anyone?","Irrelevant/Spam"
"This brings back memories.","Emotional"
"Brilliant content, keep it up!","Praise"
"You're on the right track!","Support"
"Keep up the good work!","Support"
"Could you do a tutorial?","Question/Suggestion"
"Subscribe to my channel now!","Irrelevant/Spam"
"This is the worst thing ever.","Hate/Abuse"
"The animation was okay but the voiceover felt off.","Constructive Criticism"
"Perfectly captures my feelings.","Emotional"
"I'll make sure you pay for this.","Threat"
"You're in big trouble now.","Threat"
"Complete waste of space.","Hate/Abuse"
"Keep pushing forward!","Support"
"What camera do you use?","Question/Suggestion"
"aaaaaaaaaaaaaaaaaaaa","Irrelevant/Spam"
"Good attempt, but the transitions were jarring.","Constructive Criticism"
"Absolutely garbage, waste of time.","Hate/Abuse"
"Have you considered collaboration?","Question/Suggestion"
"So emotional, beautiful work.","Emotional"
"This sucks, do something else.","Hate/Abuse"
"Maybe try a different approach?","Question/Suggestion"
"We support you all the way!","Support"
"Good start but could use more detail.","Constructive Criticism"
"Could you make one on topic X?","Question/Suggestion"
"The message is clear but presentation needs polish.","Constructive Criticism"
"You're a joke, quit already.","Hate/Abuse"
"Legal action will be taken.","Threat"
"Good attempt, but the transitions were jarring.","Constructive Criticism"
"Feeling overwhelmed with joy.","Emotional"
"You're on the right track!","Support"
"Best thing I've seen all day!","Praise"
"This reminded me of my childhood.","Emotional"
"What camera do you use?","Question/Suggestion"
"Keep following your dreams!","Support"
"Touched my heart deeply.","Emotional"
